Time,Open,High,Low,Close,Volume,target
2020-01-14 04:00:00,1.11356,1.11381,1.11355,1.11364,1815,0.12874736754395225
2020-01-14 05:00:00,1.11365,1.11384,1.11359,1.1137,2052,0.9741756956255317
2020-01-14 06:00:00,1.11369,1.11444,1.11348,1.11444,3507,-0.5141099826435803
2020-01-14 07:00:00,1.11444,1.11444,1.11373,1.11423,6921,-0.9565108013067652
2020-01-14 08:00:00,1.11423,1.1144,1.11333,1.11352,9533,-0.7432150707582271
2020-01-14 09:00:00,1.11351,1.11356,1.11303,1.11313,6951,0.5807962082193492
2020-01-14 10:00:00,1.11313,1.11354,1.11284,1.11339,5367,-0.7400938849900927
2020-01-14 11:00:00,1.11338,1.11345,1.11263,1.11303,8586,-0.9940770728238684
2020-01-14 12:00:00,1.11303,1.11303,1.11194,1.11207,8407,-0.9925276434187617
2020-01-14 13:00:00,1.11206,1.11208,1.11051,1.11102,14312,0.9907682884326285
2020-01-14 14:00:00,1.11102,1.11234,1.11045,1.11216,13925,0.09713434349644547
2020-01-14 15:00:00,1.11216,1.11232,1.11138,1.11221,13283,0.893673062918649
2020-01-14 16:00:00,1.11222,1.11304,1.11202,1.11295,7682,0.2679764803185323
2020-01-14 17:00:00,1.11295,1.11327,1.11273,1.1131,4589,0.07366915538121876
2020-01-14 18:00:00,1.1131,1.11348,1.11298,1.11314,5133,-0.5571465430785123
2020-01-14 19:00:00,1.11313,1.11329,1.11279,1.1128,3665,0.05496694170352423
2020-01-14 20:00:00,1.11279,1.11302,1.1127,1.11283,3508,-0.16620758636963304
2020-01-14 21:00:00,1.11283,1.11284,1.11246,1.11274,1678,-0.2201099819431786
2020-01-14 22:00:00,1.11284,1.11287,1.11259,1.11262,908,0.2377857707073316
2020-01-14 23:00:00,1.11262,1.1128,1.11261,1.11275,1200,0.3560534441187479
2020-01-15 00:00:00,1.11276,1.11307,1.1127,1.11295,2083,0.018544796137750504
2020-01-15 01:00:00,1.11294,1.11311,1.11272,1.11296,2761,-0.09252763454031969
2020-01-15 02:00:00,1.11295,1.11311,1.1127,1.11291,2466,0.21365560851683674
2020-01-15 03:00:00,1.11292,1.11311,1.1128,1.11302,1643,0.5163424864027273
2020-01-15 04:00:00,1.11303,1.11337,1.11297,1.11331,2029,0.1620508515009779
2020-01-15 05:00:00,1.1133,1.11346,1.11316,1.11339,1786,0.32065015901780225
2020-01-15 06:00:00,1.11339,1.11364,1.11322,1.11355,2976,-0.9017330356605064
2020-01-15 07:00:00,1.11355,1.11368,1.11271,1.11284,8864,0.32804500983311713
2020-01-15 08:00:00,1.11283,1.11308,1.11185,1.11301,9040,-0.4010834090454462
2020-01-15 09:00:00,1.113,1.11334,1.11257,1.11282,8886,0.9930919788285052
2020-01-15 10:00:00,1.11282,1.11393,1.11249,1.11387,6260,0.9890320248930076
2020-01-15 11:00:00,1.11387,1.11549,1.1138,1.1148,10043,-0.9391209899285612
2020-01-15 12:00:00,1.11478,1.11525,1.11396,1.1141,6761,0.9575352478099578
2020-01-15 13:00:00,1.11416,1.11494,1.114,1.1149,26775,0.6117199676769597
2020-01-15 14:00:00,1.11489,1.11634,1.11486,1.11522,12293,-0.02209649789817625
2020-01-15 15:00:00,1.11523,1.11548,1.11431,1.11521,12775,0.9324648974974225
2020-01-15 16:00:00,1.11522,1.11599,1.11496,1.11595,8298,-0.3895463576179503
2020-01-15 17:00:00,1.11596,1.11614,1.11562,1.11576,5817,-0.8590379415978883
2020-01-15 18:00:00,1.11575,1.11596,1.11497,1.11516,4291,-0.23949129606872507
2020-01-15 19:00:00,1.11515,1.1154,1.11494,1.11504,5803,0.3664567536140177
2020-01-15 20:00:00,1.11504,1.11529,1.11482,1.11523,3472,-0.5126945398274507
2020-01-15 21:00:00,1.11523,1.11523,1.11481,1.11495,1523,0.3616158927530949
2020-01-15 22:00:00,1.11492,1.11539,1.1149,1.11514,1718,0.1970519066016923
2020-01-15 23:00:00,1.11515,1.1153,1.115,1.11524,1372,0.4455569220126694
2020-01-16 00:00:00,1.11524,1.1158,1.11523,1.11548,2595,-0.25421003873402165
2020-01-16 01:00:00,1.11548,1.11552,1.1153,1.11535,2669,-0.3607713795043929
2020-01-16 02:00:00,1.11534,1.11537,1.11507,1.11516,3017,0.21375563534821138
2020-01-16 03:00:00,1.11516,1.1155,1.11513,1.11527,1715,-0.3458929358549485
2020-01-16 04:00:00,1.11527,1.11534,1.11507,1.1151,1673,-0.24718193316174683
2020-01-16 05:00:00,1.11511,1.11524,1.11496,1.11498,1990,0.10524438480876115
2020-01-16 06:00:00,1.11498,1.11504,1.11445,1.11503,3161,-0.5689515419364947
2020-01-16 07:00:00,1.11503,1.11529,1.11451,1.11476,6339,0.9811891832164165
2020-01-16 08:00:00,1.11478,1.11637,1.11458,1.11562,9476,-0.6283455933487007
